,title,genres,Year,average_rating,rating_count
470498,Inception (2010),Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX,2010.0,4.44,8817
492549,Interstellar (2014),Sci-Fi|IMAX,2014.0,4.41,7122
636253,Memento (2000),Mystery|Thriller,2000.0,4.4,4594
306510,Eternal Sunshine of the Spotless Mind (2004),Drama|Romance|Sci-Fi,2004.0,4.51,4507
70059,Arrival (2016),Sci-Fi,2016.0,4.39,4146
45272,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance,2001.0,4.45,3986
271774,Donnie Darko (2001),Drama|Mystery|Sci-Fi|Thriller,2001.0,4.41,3959
317169,Ex Machina (2015),Drama|Sci-Fi|Thriller,2015.0,4.29,3865
838959,Shutter Island (2010),Drama|Mystery|Thriller,2010.0,4.27,3731
233346,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX,2008.0,4.38,3598
758528,"Prestige, The (2006)",Drama|Mystery|Sci-Fi|Thriller,2006.0,4.34,3598
878825,Spirited Away (Sen to Chihiro no kamikakushi) (2001),Adventure|Animation|Fantasy,2001.0,4.42,3572
593626,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy,2001.0,4.45,3372
483369,Inglourious Basterds (2009),Action|Drama|War,2009.0,4.19,3278
731270,Parasite (2019),Comedy|Drama,2019.0,4.49,3237
132445,Blade Runner 2049 (2017),Sci-Fi,2017.0,4.19,3115
79001,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,2009.0,3.84,3065
1053538,V for Vendetta (2006),Action|Sci-Fi|Thriller|IMAX,2006.0,4.52,3045
787307,Requiem for a Dream (2000),Drama,2000.0,4.34,3011
419308,Her (2013),Drama|Romance|Sci-Fi,2013.0,4.19,3000
612462,Mad Max: Fury Road (2015),Action|Adventure|Sci-Fi|Thriller,2015.0,4.01,2934
381048,"Grand Budapest Hotel, The (2014)",Comedy|Drama,2014.0,4.25,2911
542806,Kill Bill: Vol. 1 (2003),Action|Crime|Thriller,2003.0,4.06,2894
527319,Joker (2019),Crime|Drama|Thriller,2019.0,4.13,2889
661568,Moon (2009),Drama|Mystery|Sci-Fi|Thriller,2009.0,4.19,2864
596998,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy,2003.0,4.48,2845
977847,The Martian (2015),Adventure|Drama|Sci-Fi,2015.0,4.17,2809
262388,Django Unchained (2012),Action|Drama|Western,2012.0,4.3,2794
86054,Avengers: Infinity War - Part I (2018),Action|Adventure|Sci-Fi,2018.0,3.85,2777
673841,Mulholland Drive (2001),Crime|Drama|Film-Noir|Mystery|Thriller,2001.0,3.92,2708
725234,"Pan's Labyrinth (Laberinto del fauno, El) (2006)",Drama|Fantasy|Thriller,2006.0,4.23,2675
281892,Drive (2011),Crime|Drama|Film-Noir|Thriller,2011.0,4.2,2662
555559,Knives Out (2019),Comedy|Crime|Drama|Mystery|Thriller,2019.0,4.18,2642
690488,No Country for Old Men (2007),Crime|Drama,2007.0,4.37,2586
962126,The Imitation Game (2014),Drama|Thriller|War,2014.0,4.1,2543
82241,"Avengers, The (2012)",Action|Adventure|Sci-Fi|IMAX,2012.0,3.5,2514
128374,Black Swan (2010),Drama|Thriller,2010.0,4.14,2509
313461,Everything Everywhere All at Once (2022),Action|Comedy|Sci-Fi,2022.0,4.36,2432
374562,Gone Girl (2014),Drama|Thriller,2014.0,4.23,2381
1092144,"Wolf of Wall Street, The (2013)",Comedy|Crime|Drama,2013.0,4.0,2372
242770,Deadpool (2016),Action|Adventure|Comedy|Sci-Fi,2016.0,3.87,2290
105422,"Beautiful Mind, A (2001)",Drama|Romance,2001.0,4.28,2258
191905,Children of Men (2006),Action|Adventure|Drama|Sci-Fi|Thriller,2006.0,4.32,2235
258892,District 9 (2009),Mystery|Sci-Fi|Thriller,2009.0,4.12,2227
384340,Gravity (2013),Action|Sci-Fi|IMAX,2013.0,3.5,2214
599843,"Lord of the Rings: The Two Towers, The (2002)",Adventure|Fantasy,2002.0,4.43,2207
1066255,WALL·E (2008),Adventure|Animation|Children|Romance|Sci-Fi,2008.0,4.35,2194
391995,Guardians of the Galaxy (2014),Action|Adventure|Sci-Fi,2014.0,4.23,2187
51453,American Psycho (2000),Crime|Horror|Mystery|Thriller,2000.0,4.18,2180
422585,Hereditary (2018),(no genres listed),2018.0,3.58,2156
88831,Avengers: Infinity War - Part II (2019),Action|Adventure|Sci-Fi,2019.0,3.86,2149
292146,Edge of Tomorrow (2014),Action|Sci-Fi|IMAX,2014.0,4.15,2135
250559,"Departed, The (2006)",Crime|Drama|Thriller,2006.0,4.17,2119
893144,Star Wars: Episode VII - The Force Awakens (2015),Action|Adventure|Fantasy|Sci-Fi|IMAX,2015.0,3.06,2102
182679,Catch Me If You Can (2002),Crime|Drama,2002.0,4.32,2077
368868,Gladiator (2000),Action|Adventure|Drama,2000.0,4.23,2012
114569,Big Fish (2003),Drama|Fantasy|Romance,2003.0,4.17,1976
1083769,Whiplash (2014),Drama,2014.0,4.29,1955
886822,Star Trek (2009),Action|Adventure|Sci-Fi|IMAX,2009.0,3.89,1941
857344,Snatch (2000),Comedy|Crime|Thriller,2000.0,4.28,1924
1048181,Up (2009),Adventure|Animation|Children|Drama,2009.0,4.1,1913
126188,Black Panther (2017),Action|Adventure|Sci-Fi,2017.0,3.21,1913
848406,Sin City (2005),Action|Crime|Film-Noir|Mystery|Thriller,2005.0,4.12,1906
504266,Iron Man (2008),Action|Adventure|Sci-Fi,2008.0,3.91,1887
245060,Deadpool 2 (2018),Action|Comedy|Sci-Fi,2018.0,3.7,1859
830588,Shaun of the Dead (2004),Comedy|Horror,2004.0,4.18,1848
602764,Lost in Translation (2003),Comedy|Drama|Romance,2003.0,4.27,1834
465061,In Bruges (2008),Comedy|Crime|Drama|Thriller,2008.0,4.24,1827
876033,Spider-Man: Into the Spider-Verse (2018),Action|Adventure|Animation|Sci-Fi,2018.0,4.46,1815
1074189,Watchmen (2009),Action|Drama|Mystery|Sci-Fi|Thriller|IMAX,2009.0,4.15,1811
939389,The Butterfly Effect (2004),Drama|Sci-Fi|Thriller,2004.0,3.85,1803
1118034,Zombieland (2009),Action|Comedy|Horror,2009.0,4.18,1793
815088,Scott Pilgrim vs. the World (2010),Action|Comedy|Fantasy|Musical|Romance,2010.0,4.09,1772
664569,Moonrise Kingdom (2012),Comedy|Drama|Romance,2012.0,4.33,1767
117800,"Big Short, The (2015)",Drama,2015.0,4.14,1766
58835,Annihilation (2018),Adventure|Mystery|Sci-Fi|Thriller,2018.0,3.58,1755
708383,Old Boy (2003),Mystery|Thriller,2003.0,4.25,1753
955850,The Hateful Eight (2015),Western,2015.0,4.09,1723
1010884,Thor: Ragnarok (2017),Action|Adventure|Sci-Fi,2017.0,3.77,1720
701688,Oblivion (2013),Action|Adventure|Sci-Fi|IMAX,2013.0,3.77,1716
867947,Source Code (2011),Action|Drama|Mystery|Sci-Fi|Thriller,2011.0,4.11,1713
748825,Pirates of the Caribbean: The Curse of the Black Pearl (2003),Action|Adventure|Comedy|Fantasy,2003.0,3.99,1709
534093,Juno (2007),Comedy|Drama|Romance,2007.0,3.83,1708
358211,Get Out (2017),Horror,2017.0,4.2,1700
799274,Rogue One: A Star Wars Story (2016),Action|Adventure|Fantasy|Sci-Fi,2016.0,3.93,1687
704072,Ocean's Eleven (2001),Crime|Thriller,2001.0,4.01,1671
711670,Once Upon a Time in Hollywood (2019),Comedy|Drama,2019.0,3.22,1659
147956,"Bourne Identity, The (2002)",Action|Mystery|Thriller,2002.0,4.19,1654
591186,Looper (2012),Action|Crime|Sci-Fi,2012.0,3.92,1638
861587,"Social Network, The (2010)",Drama,2010.0,4.16,1630
545700,Kill Bill: Vol. 2 (2004),Action|Drama|Thriller,2004.0,3.98,1621
646014,Midsommar (2019),Drama|Horror|Mystery,2019.0,3.96,1576
522946,John Wick (2014),Action|Thriller,2014.0,3.82,1561
1050744,Upgrade (2018),Action|Comedy|Horror|Sci-Fi|Thriller,2018.0,3.95,1542
507426,Iron Man 3 (2013),Action|Sci-Fi|Thriller|IMAX,2013.0,2.53,1541
231812,"Dark Knight Rises, The (2012)",Action|Adventure|Crime|IMAX,2012.0,3.8,1534
687937,Nightcrawler (2014),Crime|Drama|Thriller,2014.0,4.26,1520
178,(500) Days of Summer (2009),Comedy|Drama|Romance,2009.0,4.16,1520
1096656,Wonder Woman (2017),Action|Adventure|Fantasy,2017.0,3.29,1512
909936,Superbad (2007),Comedy,2007.0,3.87,1501
768005,Prometheus (2012),Action|Horror|Sci-Fi|IMAX,2012.0,3.4,1498
394182,Guardians of the Galaxy 2 (2017),Action|Adventure|Sci-Fi,2017.0,4.19,1495
437146,Hot Fuzz (2007),Action|Comedy|Crime|Mystery,2007.0,4.23,1492
167202,"Cabin in the Woods, The (2012)",Comedy|Horror|Sci-Fi|Thriller,2012.0,4.07,1491
971090,The Lighthouse (2019),Drama|Fantasy|Horror,2019.0,3.8,1485
823735,Serenity (2005),Action|Adventure|Sci-Fi,2005.0,4.33,1480
1013710,"Three Billboards Outside Ebbing, Missouri (2017)",Crime|Drama,2017.0,4.25,1473
525853,Jojo Rabbit (2019),Comedy|War,2019.0,4.05,1466
973122,The Lobster (2015),Comedy|Romance|Sci-Fi,2015.0,3.24,1463
341242,"Fountain, The (2006)",Drama|Fantasy|Romance,2006.0,4.14,1453
583412,Little Miss Sunshine (2006),Adventure|Comedy|Drama,2006.0,4.26,1449
489306,Inside Out (2015),Adventure|Animation|Children|Comedy|Drama|Fantasy,2015.0,4.2,1444
1008968,Thor (2011),Action|Adventure|Drama|Fantasy|IMAX,2011.0,2.87,1420
671319,Mr. Nobody (2009),Drama|Fantasy|Romance|Sci-Fi,2009.0,4.26,1411
450737,I Am Legend (2007),Action|Horror|Sci-Fi|Thriller|IMAX,2007.0,3.37,1410
588107,Logan (2017),Action|Sci-Fi,2017.0,4.41,1408
100379,Batman Begins (2005),Action|Crime|IMAX,2005.0,3.99,1401
23874,A Quiet Place (2018),Drama|Horror|Thriller,2018.0,3.53,1389
650496,Minority Report (2002),Action|Crime|Mystery|Sci-Fi|Thriller,2002.0,4.07,1386
11219,28 Days Later (2002),Action|Horror|Sci-Fi,2002.0,4.11,1373
121372,Birdman: Or (The Unexpected Virtue of Ignorance) (2014),Comedy|Drama,2014.0,3.91,1369
935887,The Batman (2022),Action|Crime|Drama,2022.0,3.62,1367
763698,Primer (2004),Drama|Sci-Fi,2004.0,4.04,1367
501674,Intouchables (2011),Comedy|Drama,2011.0,4.3,1359
860124,Snowpiercer (2013),Action|Drama|Sci-Fi,2013.0,3.6,1337
833251,Sherlock Holmes (2009),Action|Crime|Mystery|Thriller,2009.0,3.73,1334
891818,Star Wars: Episode III - Revenge of the Sith (2005),Action|Adventure|Sci-Fi,2005.0,2.83,1326
457751,"I, Robot (2004)",Action|Adventure|Sci-Fi|Thriller,2004.0,3.85,1318
500150,Into the Wild (2007),Action|Adventure|Drama,2007.0,4.28,1314
1032825,Tron: Legacy (2010),Action|Adventure|Sci-Fi|IMAX,2010.0,3.86,1310
202844,Cloud Atlas (2012),Drama|Sci-Fi|IMAX,2012.0,4.12,1308
444503,Howl's Moving Castle (Hauru no ugoku shiro) (2004),Adventure|Animation|Fantasy|Romance,2004.0,4.31,1306
803805,"Royal Tenenbaums, The (2001)",Comedy|Drama,2001.0,4.34,1302
411500,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Adventure|Children|Fantasy,2001.0,3.73,1302
765923,Prisoners (2013),Drama|Mystery|Thriller,2013.0,4.3,1299
84755,Avengers: Age of Ultron (2015),Action|Adventure|Sci-Fi,2015.0,2.85,1299
1046804,Untitled Spider-Man Reboot (2017),Action|Adventure|Fantasy,2017.0,3.45,1297
551584,Kingsman: The Secret Service (2015),Action|Adventure|Comedy|Crime,2015.0,3.93,1295
605330,Love Actually (2003),Comedy|Drama|Romance,2003.0,4.0,1288
13951,300 (2007),Action|Fantasy|War|IMAX,2007.0,3.42,1286
895344,Star Wars: The Last Jedi (2017),Action|Adventure|Fantasy|Sci-Fi,2017.0,2.87,1284
506153,Iron Man 2 (2010),Action|Adventure|Sci-Fi|Thriller|IMAX,2010.0,3.25,1273
549425,"King's Speech, The (2010)",Drama,2010.0,4.16,1271
1005293,There Will Be Blood (2007),Drama|Western,2007.0,4.28,1270
179975,Casino Royale (2006),Action|Adventure|Thriller,2006.0,4.12,1265
741065,"Perks of Being a Wallflower, The (2012)",Drama|Romance,2012.0,4.23,1259
62059,Ant-Man (2015),Action|Adventure|Sci-Fi,2015.0,3.24,1248
757044,Predestination (2014),Action|Mystery|Sci-Fi|Thriller,2014.0,4.21,1234
988075,The Platform (2019),Drama|Horror|Sci-Fi,2019.0,3.5,1226
198973,City of God (Cidade de Deus) (2002),Action|Adventure|Crime|Drama|Thriller,2002.0,4.2,1226
1112927,Your Name. (2016),Animation|Drama|Fantasy|Romance,2016.0,4.46,1220
855098,Slumdog Millionaire (2008),Crime|Drama|Romance,2008.0,3.89,1216
540783,Kick-Ass (2010),Action|Comedy,2010.0,3.95,1216
175544,Captain Marvel (2018),Action|Adventure|Sci-Fi,2018.0,3.16,1215
286049,Dune (2021),Action|Adventure|Drama|Sci-Fi,2021.0,4.03,1215
5498,1917 (2019),Drama|War,2019.0,4.27,1214
553066,Kiss Kiss Bang Bang (2005),Comedy|Crime|Mystery|Thriller,2005.0,3.95,1207
628166,"Matrix Reloaded, The (2003)",Action|Adventure|Sci-Fi|Thriller|IMAX,2003.0,3.69,1206
924331,Tenet (2020),Action|Thriller,2020.0,3.57,1206
303683,Equilibrium (2002),Action|Sci-Fi|Thriller,2002.0,3.96,1201
959312,The Hunger Games (2012),Action|Adventure|Drama|Sci-Fi|Thriller,2012.0,3.68,1201
563694,Lady Bird (2017),Comedy,2017.0,3.63,1190
618268,"Man from Earth, The (2007)",Drama|Sci-Fi,2007.0,4.32,1182
846649,Silver Linings Playbook (2012),Comedy|Drama,2012.0,4.1,1173
890647,Star Wars: Episode II - Attack of the Clones (2002),Action|Adventure|Sci-Fi|IMAX,2002.0,2.42,1171
172628,Captain America: The First Avenger (2011),Action|Adventure|Sci-Fi|Thriller|War,2011.0,2.57,1167
586315,"Lives of Others, The (Das leben der Anderen) (2006)",Drama|Romance|Thriller,2006.0,4.39,1160
644855,Midnight in Paris (2011),Comedy|Fantasy|Romance,2011.0,4.15,1157
975410,The Machinist (2004),Drama|Mystery|Thriller,2004.0,4.01,1155
92532,Baby Driver (2017),Action|Crime|Thriller,2017.0,3.94,1154
577162,"Life Aquatic with Steve Zissou, The (2004)",Adventure|Comedy|Fantasy,2004.0,4.27,1153
30063,About Time (2013),Drama|Fantasy|Romance,2013.0,4.31,1150
510845,Isle of Dogs (2018),Animation|Comedy,2018.0,4.2,1148
991649,The Revenant (2015),Adventure|Drama,2015.0,3.93,1147
700298,"O Brother, Where Art Thou? (2000)",Adventure|Comedy|Crime,2000.0,4.3,1142
205453,Coco (2017),Adventure|Animation|Children,2017.0,3.89,1139
297466,Elysium (2013),Action|Drama|Sci-Fi|IMAX,2013.0,3.13,1137
778225,Ratatouille (2007),Animation|Children|Drama,2007.0,4.05,1137
562240,La La Land (2016),Comedy|Drama|Romance,2016.0,3.92,1129
158335,Brokeback Mountain (2005),Drama|Romance,2005.0,4.01,1125
40446,Alita: Battle Angel (2019),Action|Romance|Sci-Fi|Thriller,2019.0,3.28,1119
837081,Shrek (2001),Adventure|Animation|Children|Comedy|Fantasy|Romance,2001.0,3.93,1114
379938,Gran Torino (2008),Crime|Drama,2008.0,3.95,1110
901987,Stranger than Fiction (2006),Comedy|Drama|Fantasy|Romance,2006.0,4.09,1098
1116450,Zodiac (2007),Crime|Drama|Thriller,2007.0,4.07,1093
425676,Hidden Figures (2016),Drama,2016.0,4.09,1092
842736,Sicario (2015),Crime|Drama|Mystery,2015.0,4.04,1087
265578,Doctor Strange (2016),Action|Adventure|Sci-Fi,2016.0,4.03,1082
431046,"Hobbit: An Unexpected Journey, The (2012)",Adventure|Fantasy|IMAX,2012.0,3.62,1075
720975,Pacific Rim (2013),Action|Adventure|Sci-Fi|IMAX,2013.0,3.47,1071
1002838,The Witch (2015),Horror,2015.0,3.96,1069
905165,Suicide Squad (2016),Action|Crime|Sci-Fi,2016.0,1.83,1066
983542,The Nice Guys (2016),Crime|Mystery|Thriller,2016.0,3.8,1063
532530,Jumanji: Welcome to the Jungle (2017),Action|Adventure|Children,2017.0,3.32,1061
171568,Captain America: Civil War (2016),Action|Sci-Fi|Thriller,2016.0,3.02,1060
1057246,Valerian and the City of a Thousand Planets (2017),Action|Adventure|Sci-Fi,2017.0,2.08,1059
116580,Big Hero 6 (2014),Action|Animation|Comedy,2014.0,3.99,1056
724043,Palm Springs (2020),Comedy,2020.0,3.99,1056
509789,"Island, The (2005)",Action|Sci-Fi|Thriller,2005.0,3.53,1053
744422,"Pianist, The (2002)",Drama|War,2002.0,4.17,1053
400994,"Hangover, The (2009)",Comedy|Crime,2009.0,3.45,1052
366721,"Girl with the Dragon Tattoo, The (2011)",Drama|Thriller,2011.0,4.16,1049
63307,Ant-Man and the Wasp (2018),Action|Adventure|Comedy|Fantasy|Sci-Fi,2018.0,3.04,1048
734936,Passengers (2016),Adventure|Drama|Romance|Sci-Fi,2016.0,3.59,1047
216171,Coraline (2009),Animation|Fantasy|Thriller,2009.0,4.23,1046
181300,Cast Away (2000),Drama,2000.0,4.15,1045
173795,Captain America: The Winter Soldier (2014),Action|Adventure|Sci-Fi|IMAX,2014.0,3.77,1043
1060807,Venom (2018),Action|Horror|Sci-Fi|Thriller,2018.0,2.56,1038
609867,Lucy (2014),Action|Sci-Fi,2014.0,3.23,1035
225457,"Curious Case of Benjamin Button, The (2008)",Drama|Fantasy|Mystery|Romance,2008.0,4.05,1034
580695,Limitless (2011),Sci-Fi|Thriller,2011.0,4.18,1033
123368,BlacKkKlansman (2018),Comedy|Crime|Drama,2018.0,3.79,1030
280694,Dredd (2012),Action|Sci-Fi,2012.0,3.45,1028
467417,In Time (2011),Crime|Sci-Fi|Thriller,2011.0,3.37,1028
207157,Coherence (2013),Drama|Mystery|Sci-Fi|Thriller,2013.0,4.25,1017
387373,Green Book (2018),Comedy|Drama,2018.0,4.25,1016
138983,Blue Is the Warmest Color (La vie d'Adèle) (2013),Drama|Romance,2013.0,3.56,1010
872203,Spider-Man (2002),Action|Adventure|Sci-Fi|Thriller,2002.0,3.33,1009
270435,Don't Look Up (2021),Comedy|Drama|Sci-Fi,2021.0,3.66,1008
907512,Sunshine (2007),Adventure|Drama|Sci-Fi|Thriller,2007.0,3.76,1007
912911,Suspiria (2017),Horror|Thriller,2017.0,4.25,1006
1025680,Train to Busan (2016),Action|Thriller,2016.0,3.97,1001
629372,"Matrix Revolutions, The (2003)",Action|Adventure|Sci-Fi|Thriller|IMAX,2003.0,3.45,996
334360,Finding Nemo (2003),Adventure|Animation|Children|Comedy,2003.0,3.9,996
143699,"Book of Eli, The (2010)",Action|Adventure|Drama,2010.0,3.32,995
717661,"Others, The (2001)",Drama|Horror|Mystery|Thriller,2001.0,4.04,989
621421,Mandy (2018),Action|Fantasy|Horror,2018.0,4.45,984
810989,Saw (2004),Horror|Mystery|Thriller,2004.0,3.79,984
1103588,X-Men (2000),Action|Adventure|Sci-Fi,2000.0,3.64,970
164500,Burn After Reading (2008),Comedy|Crime|Drama,2008.0,3.96,970
33369,Adaptation (2002),Comedy|Drama|Romance,2002.0,4.15,966
7679,2012 (2009),Action|Drama|Sci-Fi|Thriller,2009.0,2.37,965
852819,Skyfall (2012),Action|Adventure|Thriller|IMAX,2012.0,4.01,961
1098849,World War Z (2013),Action|Drama|Horror|IMAX,2013.0,3.15,949
480963,"Incredibles, The (2004)",Action|Adventure|Animation|Children|Comedy,2004.0,4.06,944
954748,The Handmaiden (2016),Drama|Romance|Thriller,2016.0,4.21,942
1106956,X-Men: First Class (2011),Action|Adventure|Sci-Fi|Thriller|War,2011.0,3.07,941
410560,Harry Potter and the Prisoner of Azkaban (2004),Adventure|Fantasy|IMAX,2004.0,4.14,940
145848,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),Comedy,2006.0,3.7,940
875097,Spider-Man: Far from Home (2019),Action|Adventure|Sci-Fi,2019.0,3.59,936
660461,"Monsters, Inc. (2001)",Adventure|Animation|Children|Comedy|Fantasy,2001.0,4.02,929
141760,Bohemian Rhapsody (2018),Drama,2018.0,3.84,928
287424,Dunkirk (2017),Action|Drama|Thriller|War,2017.0,3.83,925
1104558,X-Men Origins: Wolverine (2009),Action|Sci-Fi|Thriller,2009.0,2.57,923
820844,Secretary (2002),Comedy|Drama|Romance,2002.0,4.23,912
826474,Seven Psychopaths (2012),Comedy|Crime,2012.0,3.42,897
870870,Spectre (2015),Action|Adventure|Crime,2015.0,3.17,895
994818,The Shape of Water (2017),Adventure|Drama|Fantasy,2017.0,3.61,893
1121092,Zootopia (2016),Action|Adventure|Animation|Children|Comedy,2016.0,4.15,890
578738,Life of Pi (2012),Adventure|Drama|IMAX,2012.0,3.91,889
406285,Harry Potter and the Chamber of Secrets (2002),Adventure|Fantasy,2002.0,3.81,886
1108573,X2: X-Men United (2003),Action|Adventure|Sci-Fi|Thriller,2003.0,3.5,883
897052,Stardust (2007),Adventure|Comedy|Fantasy|Romance,2007.0,4.08,881
150515,"Bourne Ultimatum, The (2007)",Action|Crime|Thriller,2007.0,4.02,880
169182,Call Me by Your Name (2017),Drama|Romance,2017.0,3.94,879
883635,Spotlight (2015),Thriller,2015.0,4.22,873
1023732,Toy Story 3 (2010),Adventure|Animation|Children|Comedy|Fantasy|IMAX,2010.0,3.74,868
1822,10 Cloverfield Lane (2016),Thriller,2016.0,3.85,866
874070,Spider-Man 3 (2007),Action|Adventure|Sci-Fi|Thriller|IMAX,2007.0,2.9,864
1106092,X-Men: Days of Future Past (2014),Action|Adventure|Sci-Fi,2014.0,3.59,864
513041,It Follows (2014),Horror,2014.0,3.59,861
668024,Mother! (2017),Drama|Horror|Mystery|Thriller,2017.0,3.14,860
