title,Year,average_rating,rating_count,Animation,Adventure,Mystery,Drama,Action,Romance,Musical,Comedy,Thriller,Crime,Documentary,Children,Sci-Fi,IMAX,Western,Fantasy,Horror
Inception (2010),2010.0,4.44,8817,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0
Eternal Sunshine of the Spotless Mind (2004),2004.0,4.51,4507,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
"Dark Knight, The (2008)",2008.0,4.38,3598,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
"Prestige, The (2006)",2006.0,4.34,3598,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
"Lord of the Rings: The Fellowship of the Ring, The (2001)",2001.0,4.45,3372,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Inglourious Basterds (2009),2009.0,4.19,3278,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Grand Budapest Hotel, The (2014)",2014.0,4.25,2911,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Lord of the Rings: The Return of the King, The (2003)",2003.0,4.48,2845,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
The Martian (2015),2015.0,4.17,2809,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Django Unchained (2012),2012.0,4.3,2794,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
Avengers: Infinity War - Part I (2018),2018.0,3.85,2777,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Mulholland Drive (2001),2001.0,3.92,2708,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
No Country for Old Men (2007),2007.0,4.37,2586,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
The Imitation Game (2014),2014.0,4.1,2543,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Avengers, The (2012)",2012.0,3.5,2514,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
Black Swan (2010),2010.0,4.14,2509,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Everything Everywhere All at Once (2022),2022.0,4.36,2432,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"Wolf of Wall Street, The (2013)",2013.0,4.0,2372,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Children of Men (2006),2006.0,4.32,2235,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
District 9 (2009),2009.0,4.12,2227,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Gravity (2013),2013.0,3.5,2214,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"Lord of the Rings: The Two Towers, The (2002)",2002.0,4.43,2207,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Guardians of the Galaxy (2014),2014.0,4.23,2187,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
American Psycho (2000),2000.0,4.18,2180,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
Hereditary (2018),2018.0,3.58,2156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avengers: Infinity War - Part II (2019),2019.0,3.86,2149,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Edge of Tomorrow (2014),2014.0,4.15,2135,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"Departed, The (2006)",2006.0,4.17,2119,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
Star Wars: Episode VII - The Force Awakens (2015),2015.0,3.06,2102,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0
Catch Me If You Can (2002),2002.0,4.32,2077,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Whiplash (2014),2014.0,4.29,1955,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Snatch (2000),2000.0,4.28,1924,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
